gyro_1_x,gyro_1_y,gyro_1_z,accel_1_x,accel_1_y,accel_1_z,magnet_1_x,magnet_1_y,magnet_1_z,gyro_2_x,gyro_2_y,gyro_2_z,accel_2_x,accel_2_y,accel_2_z,magnet_2_x,magnet_2_y,magnet_2_z,gyro_3_x,gyro_3_y,gyro_3_z,accel_3_x,accel_3_y,accel_3_z,magnet_3_x,magnet_3_y,magnet_3_z
-150,-61,-236,260,560,16340,0,0,0,5564,-299,55,1112,212,16640,0,0,0,0,0,0,0,0,0,0,0,0
-134,27,-252,356,528,16200,0,0,0,5618,-214,46,992,280,16340,0,0,0,0,0,0,0,0,0,0,0,0
-121,20,-226,232,532,15992,0,0,0,5600,-262,56,1004,260,16304,0,0,0,0,0,0,0,0,0,0,0,0
-99,5,-227,328,544,16116,0,0,0,5596,-263,46,1048,356,16320,0,0,0,0,0,0,0,0,0,0,0,0
-127,13,-223,272,396,16108,0,0,0,5609,-246,51,1004,292,16308,0,0,0,0,0,0,0,0,0,0,0,0
-124,17,-222,272,588,16116,0,0,0,5604,-218,36,1004,300,16344,0,0,0,0,0,0,0,0,0,0,0,0
-115,39,-225,240,620,15992,0,0,0,5569,-228,41,1068,308,16284,0,0,0,0,0,0,0,0,0,0,0,0
-114,29,-222,320,544,16080,0,0,0,5596,-215,46,1080,288,16320,0,0,0,0,0,0,0,0,0,0,0,0
-122,-3,-240,232,488,16080,0,0,0,5582,-264,43,940,252,16464,0,0,0,0,0,0,0,0,0,0,0,0
-118,-4,-242,248,572,16168,0,0,0,5589,-278,39,936,380,16416,0,0,0,0,0,0,0,0,0,0,0,0
-149,-46,-227,304,584,16104,0,0,0,5620,-277,58,1064,256,16368,0,0,0,0,0,0,0,0,0,0,0,0
-118,-3,-220,212,552,16236,0,0,0,5600,-263,74,1004,328,16540,0,0,0,0,0,0,0,0,0,0,0,0
-127,6,-241,304,668,15944,0,0,0,5620,-223,53,1044,192,16344,0,0,0,0,0,0,0,0,0,0,0,0
-126,58,-359,-100,392,16024,0,0,0,5594,-201,-123,420,232,16448,0,0,0,0,0,0,0,0,0,0,0,0
-113,54,-212,284,576,16136,0,0,0,5601,-198,42,924,328,16400,0,0,0,0,0,0,0,0,0,0,0,0
-124,-39,-242,200,524,15988,0,0,0,5582,-315,40,1008,272,16352,0,0,0,0,0,0,0,0,0,0,0,0
-104,12,-575,548,520,16084,0,0,0,5589,-263,-261,1496,360,16340,0,0,0,0,0,0,0,0,0,0,0,0
-128,58,-221,256,568,16120,0,0,0,5609,-217,51,1032,320,16392,0,0,0,0,0,0,0,0,0,0,0,0
-95,123,-213,324,660,16092,0,0,0,5620,-133,57,1060,300,16308,0,0,0,0,0,0,0,0,0,0,0,0
-20,340,-235,276,544,15908,0,0,0,5709,106,60,996,268,16344,0,0,0,0,0,0,0,0,0,0,0,0
145,1194,-667,268,544,16028,0,0,0,5881,993,-369,904,268,16316,0,0,0,0,0,0,0,0,0,0,0,0
5,1047,-441,136,560,16088,0,0,0,5708,863,-135,932,312,16516,0,0,0,0,0,0,0,0,0,0,0,0
102,2992,-551,-172,584,16112,0,0,0,5860,2870,-232,572,404,16376,0,0,0,0,0,0,0,0,0,0,0,0
-139,5121,-480,-636,688,16116,0,0,0,5654,5019,-132,120,432,16204,0,0,0,0,0,0,0,0,0,0,0,0
-162,8251,-644,-1700,704,16024,0,0,0,5647,8054,-242,-976,416,16248,0,0,0,0,0,0,0,0,0,0,0,0
-69,8086,-921,-2748,564,15776,0,0,0,5703,8011,-554,-2160,268,16204,0,0,0,0,0,0,0,0,0,0,0,0
-77,6902,-749,-4220,576,15300,0,0,0,5689,6520,-342,-3560,412,15856,0,0,0,0,0,0,0,0,0,0,0,0
39,6321,-883,-4596,584,15204,0,0,0,5757,6266,-512,-4016,384,15884,0,0,0,0,0,0,0,0,0,0,0,0
141,10379,-1132,-5724,632,14864,0,0,0,5961,10321,-682,-5004,364,15492,0,0,0,0,0,0,0,0,0,0,0,0
52,8247,-694,-7232,528,14040,0,0,0,5816,8054,-299,-6648,560,14700,0,0,0,0,0,0,0,0,0,0,0,0
226,10126,-956,-7920,548,13620,0,0,0,6042,10098,-532,-7232,416,14448,0,0,0,0,0,0,0,0,0,0,0,0
280,12510,-962,-9652,428,12492,0,0,0,6122,12499,-500,-9220,412,13180,0,0,0,0,0,0,0,0,0,0,0,0
280,14277,-982,-11116,516,11180,0,0,0,6121,14280,-518,-10552,532,12260,0,0,0,0,0,0,0,0,0,0,0,0
855,16064,-1233,-12824,492,9272,0,0,0,6749,15851,-767,-12396,460,10272,0,0,0,0,0,0,0,0,0,0,0,0
77,11122,-541,-14116,420,7200,0,0,0,5880,11064,-78,-13756,524,8460,0,0,0,0,0,0,0,0,0,0,0,0
-950,7231,132,-14548,784,6224,0,0,0,4891,6994,546,-14220,720,7396,0,0,0,0,0,0,0,0,0,0,0,0
-229,4559,-270,-14812,288,5776,0,0,0,5582,4341,55,-14564,472,6812,0,0,0,0,0,0,0,0,0,0,0,0
-202,4178,-248,-15144,380,4812,0,0,0,5584,4016,95,-14844,572,5856,0,0,0,0,0,0,0,0,0,0,0,0
-513,3969,-155,-15112,432,4524,0,0,0,5264,3780,198,-14832,472,5860,0,0,0,0,0,0,0,0,0,0,0,0
-135,4596,-346,-15348,368,3956,0,0,0,5685,4347,4,-15168,452,4960,0,0,0,0,0,0,0,0,0,0,0,0
-388,3505,-225,-15544,424,3364,0,0,0,5396,3263,112,-15340,356,4536,0,0,0,0,0,0,0,0,0,0,0,0
-685,4353,-167,-15684,268,2556,0,0,0,5125,4098,180,-15456,424,4092,0,0,0,0,0,0,0,0,0,0,0,0
-1852,3156,-12,-15816,520,1936,0,0,0,3926,2854,320,-15736,400,3292,0,0,0,0,0,0,0,0,0,0,0,0
